users,movies,Movie Genre,Country ,Review
abahls0,Bill & Ted's Excellent Adventure,Adventure|Comedy|Sci-Fi,PT,1.3
rhallas1,Jeremiah Johnson,Western,PH,0.9
forsman2,"Mystic Masseur, The",Drama,SI,2.6
dcridlon3,Remember Me,Drama|Romance,SE,4.6
cinwood4,Our Man in Havana,Comedy|Drama|Thriller,ID,1.7
ttarply5,Justice League: The Flashpoint Paradox,Action|Adventure|Animation|Fantasy|Sci-Fi,PT,4.8
phalfacree6,Buried Alive,Film-Noir|Horror|Thriller,CN,2.9
lgannan7,Beauty of the Day (Belle de jour),Drama,KG,4.1
fwincom8,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,Comedy|Horror|Sci-Fi,HR,0.1
laucutt9,Faust,Drama,DO,2.2
lbraidena,Hardcore,Drama,MK,3.4
gburleb,"Pan's Labyrinth (Laberinto del fauno, El)",Drama|Fantasy|Thriller,FR,0.3
mobroganec,Agenda: Grinding America Down,Documentary,CA,2.1
dannetsd,Dinner for One (Der 90. Geburtstag oder Dinner for One),Comedy,PS,2.1
athirske,"Love Bug, The",Children|Comedy,ID,4.8
dwinwardf,Cinema Verite,Drama,SE,4.3
jgrasnerg,Hannah Montana: The Movie,Comedy|Drama|Musical|Romance,VN,3.3
apennettih,Face to Face (Faccia a faccia),Adventure|Western,US,2.3
cdonei,"Desert Rats, The",Drama|War,CN,0.2
bquestj,Operación Cannabis,Action|Adventure|Comedy|Crime,SE,3.8
bgippk,Noise,Comedy|Drama,CN,0.2
ahyettl,Desperate Measures,Crime|Drama|Thriller,CN,4.3
smacdermidm,All In: The Poker Movie,Documentary,AR,2.6
pcahanin,Class,Comedy,ID,1.7
brigglesfordo,Pitkä kuuma kesä,Comedy|Drama,RS,4.5
ttravesp,Party Girl,Comedy,PE,4.1
agirodq,"Natural, The",Drama,NO,3.8
aloughnanr,51 Birch Street,Documentary,HN,4.3
jbentjenss,Alone with Her,Crime|Drama|Thriller,CN,0.7
cvecardt,I Was a Teenage Zombie,Comedy|Horror,PE,1.7
fbysouthu,Young People,Drama,FR,0.1
svynollv,"Hip Hop Witch, Da",Comedy|Horror|Thriller,PL,2.2
lshawlw,Sword of the Stranger (Sutorejia: Mukô hadan),Action|Adventure|Animation,ID,2.2
odegregoriox,"Plastic Age, The",Comedy|Romance,GR,4.5
aaclandy,Play it to the Bone,Comedy|Drama,KZ,3.6
ipetchz,Jet Lag (Décalage horaire),Comedy|Romance,LU,1.5
lreichartz10,Dreamgirls,Drama|Musical,GB,0.8
btracey11,Malcolm X,Drama,CN,1.5
ndyter12,Growth,Sci-Fi|Thriller,PL,0.7
fpeacop13,Brubaker,Crime|Drama,PL,2.8
dkunisch14,Penny Serenade,Drama|Romance,PH,0.3
ngyppes15,Inglorious Bastards (Quel maledetto treno blindato),Action|Adventure|Drama|War,CN,2.5
ccarnalan16,Chasers,Comedy,RU,2.2
nrodnight17,"Client, The",Drama|Mystery|Thriller,SE,4.6
pgarrat18,Food Stamped,Documentary,PL,4.5
otregenza19,Anna Karenina,Drama,CN,0.3
epanton1a,49 Up,Documentary,VE,2.1
mbehnke1b,"Man Who Couldn't Say No, The (Mies joka ei osannut sanoa EI)",Comedy|Drama|Romance,NG,1.3
cmcglone1c,Tennessee,Drama,SE,2.0
jerasmus1d,"Naughty Room, The",Comedy|Drama,BR,2.3
gruben1e,"Desert of the Tartars, The (Deserto dei Tartari, Il)",Drama|War,CN,0.8
gcogley1f,"Chasers, The (Jakten)",Drama|Romance|Thriller,CO,4.4
fsemonin1g,30 Minutes or Less,Action|Comedy|Crime,AR,2.7
askurm1h,Me Without You,Comedy|Drama,CN,0.6
rpalia1i,Ju-on: White Ghost,Horror,BE,3.4
cingreda1j,Mount St. Elias,Documentary,PL,3.8
nenser1k,Without Limits,Drama,GR,1.1
kdabrowski1l,Second Honeymoon,Comedy|Romance,CU,0.5
gshirland1m,Repo Men,Action|Sci-Fi|Thriller,PH,1.8
hkerans1n,Licence to Kill,Action|Adventure|Thriller,TZ,0.3
slile1o,"Beguiled, The",Drama|Thriller|War,NG,1.8
gmeffan1p,Super Bitch,Action,CN,3.9
thandrock1q,On Top of the Whale (Het dak van de Walvis),Fantasy,ID,0.5
kcookson1r,Hollow Reed,Drama,PL,3.9
cbusby1s,Highlander: Endgame (Highlander IV),Action|Adventure|Fantasy,SE,3.7
cdimelow1t,Romeo and Juliet,Drama|Romance,SE,0.4
pstaff1u,Happy Gilmore,Comedy,BW,1.1
mczapla1v,Ella Enchanted,Comedy|Fantasy|Romance,RS,4.2
bhriinchenko1w,Arabian Nights (Il fiore delle mille e una notte),Comedy|Drama|Fantasy,CZ,0.4
hcholonin1x,Clifford's Really Big Movie,Animation|Children,CN,4.0
nmathiassen1y,Return of the Killer Tomatoes!,Comedy|Horror|Sci-Fi,ID,4.7
tstopforth1z,Itty Bitty Titty Committee,Comedy|Drama|Romance,PL,3.2
nnowick20,Kingsman: The Secret Service,Action|Adventure|Comedy|Crime,PE,4.1
llashbrook21,"Detonator, The",Action|Thriller,ID,3.8
lmatula22,Things Change,Comedy,KR,0.4
ggini23,"Virgin Spring, The (Jungfrukällan)",Crime|Drama,CO,4.7
rcumine24,Paradise Now,Crime|Drama|Thriller|War,CN,5.0
mhamon25,Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu),Adventure|Comedy,RU,1.7
smaeer26,"Jungle Creature: Hugo, The (Jungledyret) (Go Hugo Go)",Animation|Children|Musical|Romance,AF,4.6
dbootes27,"Mindscape of Alan Moore, The",Documentary,PT,3.0
thearne28,EuroTrip,Adventure|Comedy,FR,4.2
smcavaddy29,East is East,Comedy,NG,4.7
jmisson2a,"Ballad of Narayama, The (Narayama bushiko)",Drama,MX,1.8
rjanuszkiewicz2b,"Other Sister, The",Comedy|Drama|Romance,CN,4.4
wburkhill2c,"Last Song, The",Drama|Romance,CO,4.8
jclaworth2d,Daughter of Dr. Jeckyll,Horror,CN,4.3
jchurchlow2e,Meatballs 4,Comedy,CN,3.2
tdahlbom2f,Chicago Joe and the Showgirl,Drama,CN,4.2
jhovee2g,"Night Walker, The",Horror|Mystery|Thriller,ID,2.9
pjuanico2h,"Patsy, The",Comedy,NP,0.2
skloska2i,"Target Shoots First, The",Comedy|Drama,ID,4.3
hfullick2j,"Black Sleep, The",Horror|Sci-Fi,PK,2.3
espark2k,Filming 'Othello',Documentary,BR,3.5
dcicetti2l,They Live by Night,Crime|Film-Noir|Romance,BR,0.6
ajeffery2m,Children Underground,Documentary,SE,1.0
jannett2n,Kicking and Screaming,Comedy|Drama,CN,0.3
dielden2o,Into the West,Adventure|Drama|Western,CO,4.5
rbennie2p,Puppet Master: Axis of Evil (Puppet Master 10),Horror,CN,0.5
iffoulkes2q,Everything Relative,Drama,YE,3.7
kwiltshaw2r,Krippendorf's Tribe,Comedy,PT,0.7
coldroyde2s,Julia and Julia (Giulia e Giulia),Drama|Mystery|Thriller,CO,0.2
ahammerson2t,Upstream,Comedy|Drama,RU,3.4
tlarver2u,Warrior,Drama,US,1.6
skilmurray2v,"Wall, The (Die Wand)",Drama|Fantasy,ID,2.5
sgrundwater2w,Mr. Warmth: The Don Rickles Project,Documentary,SN,1.1
kcant2x,Reykjavik-Rotterdam,Drama|Thriller,FR,4.1
wmeadway2y,Zus & Zo,Comedy|Drama|Romance,PH,2.4
florant2z,Climate of Change,Documentary,CN,0.4
omanifold30,Down to You,Comedy|Romance,JP,2.5
jagg31,Donovan's Reef,Action|Comedy|Romance,ID,0.5
cmelia32,Black Legion,Crime|Drama,CN,0.4
mrenton33,Goodbye Charlie,Comedy|Fantasy|Romance,AL,3.2
rmclewd34,"Collector, The (La collectionneuse)",Drama,TW,0.0
gaxworthy35,Bit by Bit,(no genres listed),CN,2.5
jroggerone36,Dad Savage,Crime|Thriller,VN,1.0
amoulden37,Outskirts (Okraina),Drama|War,PH,3.7
hmenguy38,When Worlds Collide,Sci-Fi,CN,4.0
